/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:47_0_.jpg,
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:48_1_39.00 \n.jpg,39.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:48_2_39.00 \n.jpg,39.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:49_3_38.00 \n.jpg,38.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:49_4_36.00 \n.jpg,36.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:50_5_36.00 \n.jpg,36.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:51_6_43.00 \n.jpg,43.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:51_7_55.00 \n.jpg,55.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:52_8_57.00 \n.jpg,57.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:52_9_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:53_10_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:54_11_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:54_12_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:55_13_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:55_14_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:56_15_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:57_16_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:57_17_50.00 \n.jpg,50.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:58_18_50.00 \n.jpg,50.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:58_19_51.00 \n.jpg,51.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:51:59_20_51.00 \n.jpg,51.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:00_21_51.00 \n.jpg,51.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:00_22_51.00 \n.jpg,51.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:01_23_51.00 \n.jpg,51.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:01_24_44.00 \n.jpg,44.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:02_25_45.00 \n.jpg,45.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:03_26_50.00 \n.jpg,50.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:03_27_53.00 \n.jpg,53.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:04_28_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:04_29_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:05_30_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:06_31_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:06_32_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:07_33_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:07_34_50.00 \n.jpg,50.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:08_35_43.00 \n.jpg,43.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:09_36_47.00 \n.jpg,47.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:09_37_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:10_38_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:10_39_48.00 \n.jpg,48.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:11_40_49.00 \n.jpg,49.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:12_41_49.00 \n.jpg,49.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:12_42_49.00 \n.jpg,49.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:13_43_49.00 \n.jpg,49.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:13_44_49.00 \n.jpg,49.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:14_45_50.00 \n.jpg,50.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:15_46_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:15_47_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:16_48_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:16_49_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:17_50_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:18_51_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:18_52_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:19_53_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:19_54_49.00 \n.jpg,49.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:20_55_48.00 \n.jpg,48.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:21_56_47.00 \n.jpg,47.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:21_57_48.00 \n.jpg,48.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:22_58_48.00 \n.jpg,48.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:22_59_50.00 \n.jpg,50.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:23_60_59.00 \n.jpg,59.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:24_61_60.00 \n.jpg,60.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:24_62_57.00 \n.jpg,57.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:25_63_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:25_64_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:26_65_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:27_66_44.00 \n.jpg,44.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:27_67_43.00 \n.jpg,43.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:28_68_44.00 \n.jpg,44.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:28_69_49.00 \n.jpg,49.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:29_70_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:30_71_57.00 \n.jpg,57.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:30_72_57.00 \n.jpg,57.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:31_73_57.00 \n.jpg,57.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:31_74_57.00 \n.jpg,57.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:32_75_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:33_76_48.00 \n.jpg,48.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:33_77_45.00 \n.jpg,45.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:34_78_51.00 \n.jpg,51.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:34_79_53.00 \n.jpg,53.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:35_80_53.00 \n.jpg,53.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:36_81_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:36_82_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:37_83_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:37_84_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:38_85_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:39_86_57.00 \n.jpg,57.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:39_87_57.00 \n.jpg,57.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:40_88_59.00 \n.jpg,59.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:40_89_61.00 \n.jpg,61.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:41_90_62.00 \n.jpg,62.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:42_91_60.00 \n.jpg,60.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:42_92_58.00 \n.jpg,58.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:43_93_57.00 \n.jpg,57.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:43_94_57.00 \n.jpg,57.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:44_95_57.00 \n.jpg,57.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:45_96_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:45_97_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:46_98_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:46_99_53.00 \n.jpg,53.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:47_100_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:48_101_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:48_102_52.00 \n.jpg,52.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:49_103_54.00 \n.jpg,54.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:49_104_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:50_105_56.00 \n.jpg,56.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:51_106_58.00 \n.jpg,58.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:51_107_59.00 \n.jpg,59.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:52_108_64.00 \n.jpg,64.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:52_109_69.00 \n.jpg,69.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:53_110_82.00 \n.jpg,82.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:54_111_93.00 \n.jpg,93.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:54_112_95.00 \n.jpg,95.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:55_113_98.00 \n.jpg,98.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:55_114_100.00 \n.jpg,100.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:56_115_100.00 \n.jpg,100.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:57_116_100.00 \n.jpg,100.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:57_117_100.00 \n.jpg,100.00 \n
/home/pi/Desktop/bakal/zber_dat_NS/IMG/05-13-06:52:58_118_100.00 \n.jpg,100.00 \n
